,WtDate,TubingPress,IA,WtOilVol,WtGasVol,WtGasRate,WtGasLiftVol,WtWaterVol,WtrLift,WtTotalFluid,WtWaterCut,WtGOR,WtSeparatorPress,WtRemarks,WtInfoOnly,well,HeaderP,WHP,BHP,Optimal_RP,PI
0,2024-01-22,177.1,2162.0,560.7,175.2,175.2,0.0,1457.7,2186.9,2018.4,72.2,0.3,178.1,,Yes,MPB-28,164.8069105691057,172.18776753144658,1174.2256775067738,1796,3.246193879326673
1,2024-01-23,176.8,2177.4,631.8,145.2,145.2,0.0,1436.8,1340.9,2068.6,69.5,0.2,178.1,,Yes,MPB-28,158.76309427880742,167.16952222222207,1322.2402819738147,1796,4.366348427887375
2,2024-01-27,179.6,2253.0,483.0,176.0,176.0,0.0,1058.2,2282.2,1541.3,68.7,0.4,180.1,,Yes,MPB-28,160.1700095510984,174.35776477064198,1035.1987451737439,1796,2.025890454599718
3,2024-01-27,179.6,2253.0,483.0,176.0,176.0,0.0,1058.2,2282.2,1541.3,68.7,364.4,180.1,,No,MPB-28,160.1700095510984,174.35776477064198,1035.1987451737439,1796,2.025890454599718
4,2024-01-28,181.0,2317.0,593.4,264.8,264.8,0.0,1225.9,2313.7,1819.3,67.4,0.4,180.0,,Yes,MPB-28,160.52773722627737,177.0356115479113,1017.3157131960346,1796,2.336376925579353
5,2024-01-30,180.5,2548.3,730.7,101.8,101.8,0.0,1213.3,2400.2,1944.0,62.4,0.1,182.5,,Yes,MPB-28,159.68433005299016,185.99697399355884,994.1665121668591,1796,2.4244435153904926
6,2024-01-30,186.0,2548.3,681.2,486.3,486.3,0.0,1268.3,2400.2,1949.5,65.1,0.7,184.5,,Yes,MPB-28,159.68433005299016,185.99697399355884,994.1665121668591,1796,2.4313027948836243
7,2024-01-31,188.1,2454.1,553.1,479.9,479.9,0.0,1123.4,2390.7,1676.5,67.0,0.9,186.6,,Yes,MPB-28,164.79788838612367,181.61744965727334,885.2738959764472,1796,1.8408388565928742
8,2024-02-01,188.9,2329.4,399.6,221.1,221.1,0.0,1037.3,2332.3,1436.9,72.2,0.6,188.7,,Yes,MPB-28,164.26768781911014,175.71514742268033,906.7695178849143,1796,1.615891525200813
9,2024-02-02,174.5,2364.6,294.0,187.5,187.5,0.0,902.3,2355.0,1196.2,75.4,0.6,175.3,,Yes,MPB-28,164.0007042253521,172.95120231854816,921.422004889976,1796,1.3677453659802123
10,2024-02-03,181.6,2416.5,395.1,246.0,246.0,0.0,935.2,2381.3,1330.3,70.3,,181.8,,Yes,MPB-28,161.70772946859904,183.84134676470586,898.0719059405948,1796,1.4815217485688668
11,2024-02-03,182.5,2416.5,505.4,260.8,260.8,0.0,904.3,2381.3,1409.7,64.1,0.5,182.5,,Yes,MPB-28,161.70772946859904,183.84134676470586,898.0719059405948,1796,1.5699475373656557
12,2024-02-05,178.6,2358.6,297.8,173.4,173.4,0.0,827.6,2401.4,1125.4,73.5,0.6,179.1,,Yes,MPB-28,163.13921113689096,176.69414841930134,918.751909476662,1796,1.2828754056661698
13,2024-02-08,178.7,2363.2,330.7,135.3,135.3,0.0,840.0,2413.3,1170.7,71.8,0.4,178.1,,Yes,MPB-28,163.09213483146067,170.14446277021645,917.2392857142859,1796,1.3322170426696691
14,2024-02-08,178.7,2363.2,330.7,135.3,135.3,0.0,840.0,2413.3,1170.7,71.8,409.3,178.1,,No,MPB-28,163.09213483146067,170.14446277021645,917.2392857142859,1796,1.3322170426696691
15,2024-02-10,178.2,2333.3,258.5,104.5,104.5,0.0,882.3,2378.5,1140.8,77.3,0.4,178.4,,Yes,MPB-28,163.75088464260438,177.99289577613553,924.1520887728459,1796,1.308485098501053
16,2024-02-13,180.8,2361.3,289.2,147.5,147.5,0.0,826.6,2402.9,1115.7,74.1,0.5,179.7,,Yes,MPB-28,164.01699524133244,168.74924207687116,920.4354919053554,1796,1.2742636204246391
17,2024-02-14,173.5,2297.2,301.5,129.4,129.4,0.0,752.6,2379.8,1054.1,71.4,0.4,172.7,,Yes,MPB-28,163.5653429602888,169.7091464031617,926.3198186528493,1796,1.2120547559991302
18,2024-02-16,170.1,2278.8,294.4,139.3,139.3,0.0,748.3,2374.0,1042.7,71.8,0.5,169.0,,Yes,MPB-28,159.15736040609136,167.7580554776511,939.294038929441,1796,1.2171037058000842
19,2024-02-20,172.8,2280.5,337.9,172.4,172.4,0.0,765.3,2358.3,1103.2,69.4,0.5,172.0,WP - Phase weather,Yes,MPB-28,157.140625,172.73790750469024,937.3790909090907,1796,1.2848510772560222
20,2024-02-29,175.4,2001.9,203.3,70.7,70.7,0.0,770.5,2432.2,973.8,79.1,0.3,176.2,,Yes,MPB-28,163.62951082598235,171.8167606089437,919.8211136890955,1796,1.1114168752686142
21,2024-03-02,184.1,2456.9,334.6,206.6,206.6,0.0,836.9,2461.2,1171.6,71.4,0.6,182.1,,Yes,MPB-28,158.5111821086262,158.61755478723407,874.404639175258,1796,1.2712737604836977
22,2024-03-02,184.1,2456.9,334.6,206.6,206.6,0.0,836.9,2461.2,1171.6,71.4,617.5,182.1,,No,MPB-28,158.5111821086262,158.61755478723407,874.404639175258,1796,1.2712737604836977
23,2024-03-04,170.4,2488.6,231.9,113.9,113.9,0.0,765.3,2463.0,997.2,76.7,0.5,170.3,WT - BHP climbing and oil rare down may need JP change out,Yes,MPB-28,158.29896083133494,171.76002697916638,892.5145181476852,1796,1.1037255385172906
24,2024-03-04,170.4,2488.6,231.9,113.9,113.9,0.0,765.3,2463.0,997.2,76.7,491.2,170.3,WT - BHP climbing and oil rare down may need JP change out,No,MPB-28,158.29896083133494,171.76002697916638,892.5145181476852,1796,1.1037255385172906
25,2024-03-12,170.2,2417.9,226.5,76.6,76.6,0.0,765.8,2454.8,992.3,77.2,0.3,170.5,,Yes,MPB-28,161.87168758716876,167.80335486111107,987.3511138613861,1796,1.2271085968328481
26,2024-03-15,178.6,2356.9,236.8,98.5,98.5,0.0,789.8,2425.9,1026.6,76.9,0.4,178.8,,Yes,MPB-28,161.65895953757226,178.29149080919086,1019.9041984732827,1796,1.3227748404004978
27,2024-03-20,170.6,2350.0,185.8,61.5,61.5,0.0,689.8,2417.4,875.5,78.8,0.3,170.7,,Yes,MPB-28,161.3016877637131,164.71616507666067,1029.6190095846646,1796,1.1423821975614612
28,2024-03-22,163.8,2359.7,188.8,49.6,49.6,0.0,928.2,2339.0,1117.0,83.1,0.3,164.0,,Yes,MPB-28,161.365991902834,161.23108217317497,1282.0602425876007,1796,2.173406481771148
29,2024-03-28,163.2,2329.1,194.9,77.1,77.1,0.0,587.7,2304.3,782.6,75.1,0.4,163.2,WT - Well test verified with shake outs,Yes,MPB-28,159.32846715328466,162.57150704545427,1297.0978863936602,1796,1.568644386657205
30,2024-03-28,163.2,2329.1,194.9,77.1,77.1,0.0,587.7,2304.3,782.6,75.1,395.6,163.2,WT - Well test verified with shake outs,No,MPB-28,159.32846715328466,162.57150704545427,1297.0978863936602,1796,1.568644386657205
31,2024-03-29,168.5,1599.6,208.7,51.7,51.7,0.0,661.1,1710.2,869.8,76.0,0.2,168.5,,Yes,MPB-28,161.20810313075506,163.6208455855855,1381.548791540784,1796,2.098678884864664
32,2024-03-31,188.5,2301.4,364.4,161.0,161.0,0.0,1114.3,2418.9,1478.7,75.4,0.4,187.0,,Yes,MPB-28,163.9526854219949,181.601190940171,1210.1528532608677,1796,2.524037213854418
33,2024-04-01,182.6,2347.2,323.5,219.9,219.9,0.0,979.4,2437.9,1302.8,75.2,0.7,181.3,WT - Well test confirmed with shake outs,Yes,MPB-28,174.73908826382154,176.07551182519288,1195.5213256484158,1796,2.1696024449274645
34,2024-04-01,182.6,2347.2,323.5,219.9,219.9,0.0,979.4,2437.9,1302.8,75.2,679.8,181.3,WT - Well test confirmed with shake outs,No,MPB-28,174.73908826382154,176.07551182519288,1195.5213256484158,1796,2.1696024449274645
35,2024-04-03,187.4,2316.5,306.8,106.1,106.1,0.0,1003.2,2394.2,1309.9,76.6,0.3,186.8,WT - Higher PWI header pressure,Yes,MPB-28,163.19204545454545,169.8062075593951,1292.7806451612896,1796,2.603039782561311
36,2024-04-03,187.4,2316.5,306.8,106.1,106.1,0.0,1003.2,2394.2,1309.9,76.6,346.0,186.8,WT - Higher PWI header pressure,No,MPB-28,163.19204545454545,169.8062075593951,1292.7806451612896,1796,2.603039782561311
37,2024-04-04,187.5,2377.3,262.0,120.8,120.8,0.0,827.9,2412.2,1089.9,76.0,0.5,187.3,,Yes,MPB-28,163.89593188268685,188.07331843749998,1322.3039886039876,1796,2.3008426792279613
38,2024-04-04,187.5,2377.3,262.0,120.8,120.8,0.0,827.9,2412.2,1089.9,76.0,461.3,187.3,,No,MPB-28,163.89593188268685,188.07331843749998,1322.3039886039876,1796,2.3008426792279613
39,2024-04-07,175.8,2360.3,217.6,90.1,90.1,0.0,676.5,2380.7,894.1,75.7,0.4,175.5,,Yes,MPB-28,162.80814717477003,175.80322556480385,1375.6874829931976,1796,2.1272266797268133
40,2024-04-09,164.2,2367.0,185.6,63.8,63.8,0.0,552.8,2414.8,738.4,74.9,0.3,164.3,,Yes,MPB-28,160.08390022675738,164.36232951388885,1395.3195478723433,1796,1.8428650463954899
41,2024-04-11,172.5,2150.7,204.0,53.5,53.5,0.0,741.4,2184.6,945.4,78.4,0.3,173.1,,Yes,MPB-28,160.97560975609755,163.88712625514447,1500.892408759123,1796,3.203577366562327
42,2024-04-15,170.9,2485.8,123.8,43.7,43.7,0.0,703.9,2395.6,827.6,85.0,0.4,170.3,,Yes,MPB-28,160.82142857142858,169.2370363304983,1461.243947368423,1796,2.472248054946547
43,2024-04-16,168.4,2466.1,125.5,67.3,67.3,0.0,685.1,2376.5,810.5,84.5,0.5,168.0,,Yes,MPB-28,160.40350877192984,167.15103190255223,1464.6479415670633,1796,2.446038825994013
44,2024-04-18,161.4,2431.2,126.9,37.5,37.5,0.0,602.5,2344.1,729.4,82.6,0.3,160.8,,Yes,MPB-28,160.0823970037453,160.54390070922014,1474.6103773584896,1796,2.2695194512039336
45,2024-04-19,163.1,2482.1,275.8,52.1,52.1,0.0,513.0,2373.8,788.7,65.0,0.2,162.4,,Yes,MPB-28,161.04814814814816,163.77235958668186,1476.7263157894733,1796,2.470294418251951
46,2024-04-19,163.1,2482.1,275.8,52.1,52.1,0.0,513.0,2373.8,788.7,65.0,189.0,162.4,,No,MPB-28,161.04814814814816,163.77235958668186,1476.7263157894733,1796,2.470294418251951
47,2024-04-21,161.7,2401.8,162.6,38.6,38.6,0.0,497.0,2316.8,659.5,75.4,0.2,161.2,,Yes,MPB-28,160.75,161.24531094580234,1487.036945169714,1796,2.1345594228483553
48,2024-04-23,170.7,2470.2,209.7,47.4,47.4,0.0,599.6,2353.2,809.4,74.1,0.2,170.5,,Yes,MPB-28,161.28125,161.95895705660362,1491.302937420179,1796,2.65640893662361
49,2024-04-24,166.4,2454.0,223.6,47.0,47.0,0.0,581.6,2347.8,805.2,72.2,0.2,166.0,,Yes,MPB-28,161.1153846153846,163.57994436689938,1495.9192708333312,1796,2.6832779373605873
50,2024-04-27,161.5,2252.5,174.5,39.4,39.4,0.0,456.7,2252.6,631.2,72.4,0.2,161.3,,Yes,MPB-28,161.61867704280155,161.54119674027305,1522.54294871795,1796,2.308223529218727
51,2024-04-29,161.4,2239.8,176.9,43.9,43.9,0.0,486.0,2246.1,662.9,73.3,0.2,160.7,,Yes,MPB-28,161.9009900990099,161.96243663366306,1536.7070153061234,1796,2.556567431944312
52,2024-04-30,163.8,2292.0,183.3,40.5,40.5,0.0,525.2,2270.6,708.4,74.1,0.2,163.6,,Yes,MPB-28,163.0731707317073,163.87810048828146,1535.8178153446001,1796,2.7227075556239386
53,2024-05-02,177.8,2297.2,954.3,270.0,270.0,0.0,2027.5,2358.3,2981.8,68.0,0.3,173.3,,Yes,MPB-28,159.3904761904762,169.73092234137664,1368.0790184049067,1796,6.968108899183248
54,2024-05-02,177.8,2297.2,954.3,270.0,270.0,0.0,2027.5,2358.3,2981.8,68.0,282.9,173.3,,No,MPB-28,159.3904761904762,169.73092234137664,1368.0790184049067,1796,6.968108899183248
55,2024-05-03,176.7,2184.9,864.9,254.5,254.5,0.0,1553.6,2316.6,2418.5,64.2,0.3,172.5,WT - Test confirmed with shakeouts,Yes,MPB-28,158.9873417721519,174.2533101476016,1268.6532623169126,1796,4.586166609517197
56,2024-05-03,176.7,2184.9,864.9,254.5,254.5,0.0,1553.6,2316.6,2418.5,64.2,294.2,172.5,WT - Test confirmed with shakeouts,No,MPB-28,158.9873417721519,174.2533101476016,1268.6532623169126,1796,4.586166609517197
57,2024-05-04,177.1,2198.2,935.8,255.9,255.9,0.0,1533.1,2323.1,2468.8,62.1,0.3,172.8,WT - Well test confirmed with shakeouts. Total fluid is up and the BS&W is down.,Yes,MPB-28,160.76623376623377,169.83573129830054,1253.0713342140023,1796,4.547190368786144
58,2024-05-04,177.1,2198.2,935.8,255.9,255.9,0.0,1533.1,2323.1,2468.8,62.1,273.5,172.8,WT - Well test confirmed with shakeouts. Total fluid is up and the BS&W is down.,No,MPB-28,160.76623376623377,169.83573129830054,1253.0713342140023,1796,4.547190368786144
59,2024-05-06,184.8,2217.9,955.7,433.4,433.4,0.0,1367.5,2372.8,2323.2,58.9,0.5,178.8,,Yes,MPB-28,160.8008658008658,181.017160495283,1167.0211633663369,1796,3.6936059922682323
60,2024-05-08,185.8,2162.0,953.7,478.6,478.6,0.0,1188.1,2365.5,2141.9,55.5,0.5,179.6,,Yes,MPB-28,163.95,175.51240040911745,1132.2763906056855,1796,3.22709629382418
61,2024-05-09,177.1,2155.5,712.7,137.9,137.9,0.0,1010.2,2334.9,1722.9,58.6,0.2,175.0,,Yes,MPB-28,161.02777777777777,177.2364437259923,1256.4100828729274,1796,3.19298034546902
62,2024-05-11,181.9,2225.5,849.6,144.8,144.8,0.0,1327.0,2324.2,2176.6,61.0,0.2,180.7,,Yes,MPB-28,161.8422619047619,173.85680452012363,1340.1156410256422,1796,4.774456410167008
63,2024-01-12,277.4,1355.4,0.0,2124.3,2124.3,0.0,972.4,3872.6,972.4,100.0,,182.5,,Yes,MPB-30,162.7587327376117,278.2189658119657,1061.9944289693594,1554,1.9764003849855634
